[0.000000] (-) TimerEvent: {}
[0.013588] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.013898] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.014292] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.014477] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.014860] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.015090] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.015188] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.015271] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.015339] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.015436] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.015526] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.015726] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.015816] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.015979] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.016133] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.016291] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.016465] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.016577] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.016681] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.016748] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.016813] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.016891] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.016961] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.017025] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.017108] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.017186] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.017268] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.017333] (-) JobUnselected: {'identifier': 'navigation2'}
[0.017396] (-) JobUnselected: {'identifier': 'realsense'}
[0.017458] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.017521] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.017582] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.017739] (-) JobUnselected: {'identifier': 'sensing'}
[0.017828] (-) JobUnselected: {'identifier': 'teleop'}
[0.018107] (-) JobUnselected: {'identifier': 'vectornav'}
[0.018212] (-) JobUnselected: {'identifier': 'vectornav_msgs'}
[0.018283] (-) JobUnselected: {'identifier': 'visualization'}
[0.018482] (grid_map) JobQueued: {'identifier': 'grid_map', 'dependencies': OrderedDict([('grid_map_cmake_helpers', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cmake_helpers'), ('nav2_common', '/root/Lunar_ROADSTER/lr_ws/install/nav2_common'), ('grid_map_core', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_core'), ('grid_map_msgs', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_msgs'), ('nav2_msgs', '/root/Lunar_ROADSTER/lr_ws/install/nav2_msgs'), ('nav2_voxel_grid', '/root/Lunar_ROADSTER/lr_ws/install/nav2_voxel_grid'), ('grid_map_cv', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cv'), ('grid_map_octomap', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_octomap'), ('grid_map_sdf', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_sdf'), ('nav2_util', '/root/Lunar_ROADSTER/lr_ws/install/nav2_util'), ('grid_map_ros', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_ros'), ('nav2_lifecycle_manager', '/root/Lunar_ROADSTER/lr_ws/install/nav2_lifecycle_manager'), ('nav2_map_server', '/root/Lunar_ROADSTER/lr_ws/install/nav2_map_server'), ('grid_map_filters', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_filters'), ('grid_map_loader', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_loader'), ('grid_map_pcl', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_pcl'), ('grid_map_rviz_plugin', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_rviz_plugin'), ('grid_map_visualization', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_visualization'), ('nav2_costmap_2d', '/root/Lunar_ROADSTER/lr_ws/install/nav2_costmap_2d'), ('grid_map_costmap_2d', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_costmap_2d'), ('grid_map_demos', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_demos')])}
[0.018888] (grid_map) JobStarted: {'identifier': 'grid_map'}
[0.099344] (-) TimerEvent: {}
[0.185401] (grid_map) JobEnded: {'identifier': 'grid_map', 'rc': 1}
[0.197272] (-) EventReactorShutdown: {}
